Country,Indicator,Year,Inflation_Rate,ID
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1983,3.5,"Congo, Republic of _1983"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1983,5.9,Côte d'Ivoire_1983
Egypt,Annual average inflation (consumer prices) rate,1983,16.0,Egypt_1983
Hong Kong SAR,Annual average inflation (consumer prices) rate,1983,9.9,Hong Kong SAR_1983
Iran,Annual average inflation (consumer prices) rate,1983,19.7,Iran_1983
"Korea, Republic of",Annual average inflation (consumer prices) rate,1983,3.4,"Korea, Republic of_1983"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1983,62.5,Lao P.D.R._1983
Macao SAR,Annual average inflation (consumer prices) rate,1983,,Macao SAR_1983
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1983,,"Micronesia, Fed. States of_1983"
North Macedonia ,Annual average inflation (consumer prices) rate,1983,,North Macedonia _1983
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1983,2.2,Saint Kitts and Nevis_1983
Saint Lucia,Annual average inflation (consumer prices) rate,1983,1.5,Saint Lucia_1983
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1983,5.5,Saint Vincent and the Grenadines_1983
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1983,,"South Sudan, Republic of_1983"
Syria,Annual average inflation (consumer prices) rate,1983,6.0,Syria_1983
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1983,7.0,São Tomé and Príncipe_1983
Taiwan Province of China,Annual average inflation (consumer prices) rate,1983,1.4,Taiwan Province of China_1983
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1983,31.3,"Türkiye, Republic of_1983"
Venezuela,Annual average inflation (consumer prices) rate,1983,6.2,Venezuela_1983
Yemen,Annual average inflation (consumer prices) rate,1983,,Yemen_1983
"China, People's Republic of",Annual average inflation (consumer prices) rate,1984,2.7,"China, People's Republic of_1984"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1984,52.6,"Congo, Dem. Rep. of the_1984"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1984,3.5,"Congo, Republic of _1984"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1984,4.3,Côte d'Ivoire_1984
Egypt,Annual average inflation (consumer prices) rate,1984,17.1,Egypt_1984
Hong Kong SAR,Annual average inflation (consumer prices) rate,1984,8.5,Hong Kong SAR_1984
Iran,Annual average inflation (consumer prices) rate,1984,12.6,Iran_1984
"Korea, Republic of",Annual average inflation (consumer prices) rate,1984,2.3,"Korea, Republic of_1984"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1984,27.2,Lao P.D.R._1984
Macao SAR,Annual average inflation (consumer prices) rate,1984,,Macao SAR_1984
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1984,,"Micronesia, Fed. States of_1984"
North Macedonia ,Annual average inflation (consumer prices) rate,1984,,North Macedonia _1984
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1984,2.7,Saint Kitts and Nevis_1984
Saint Lucia,Annual average inflation (consumer prices) rate,1984,2.0,Saint Lucia_1984
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1984,2.7,Saint Vincent and the Grenadines_1984
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1984,,"South Sudan, Republic of_1984"
Syria,Annual average inflation (consumer prices) rate,1984,9.5,Syria_1984
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1984,3.2,São Tomé and Príncipe_1984
Taiwan Province of China,Annual average inflation (consumer prices) rate,1984,0.0,Taiwan Province of China_1984
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1984,48.4,"Türkiye, Republic of_1984"
Venezuela,Annual average inflation (consumer prices) rate,1984,12.2,Venezuela_1984
Yemen,Annual average inflation (consumer prices) rate,1984,,Yemen_1984
"China, People's Republic of",Annual average inflation (consumer prices) rate,1985,9.3,"China, People's Republic of_1985"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1985,23.5,"Congo, Dem. Rep. of the_1985"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1985,3.5,"Congo, Republic of _1985"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1985,1.8,Côte d'Ivoire_1985
Egypt,Annual average inflation (consumer prices) rate,1985,12.1,Egypt_1985
Hong Kong SAR,Annual average inflation (consumer prices) rate,1985,3.6,Hong Kong SAR_1985
Iran,Annual average inflation (consumer prices) rate,1985,4.4,Iran_1985
"Korea, Republic of",Annual average inflation (consumer prices) rate,1985,2.5,"Korea, Republic of_1985"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1985,114.7,Lao P.D.R._1985
Macao SAR,Annual average inflation (consumer prices) rate,1985,,Macao SAR_1985
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1985,,"Micronesia, Fed. States of_1985"
North Macedonia ,Annual average inflation (consumer prices) rate,1985,,North Macedonia _1985
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1985,2.7,Saint Kitts and Nevis_1985
Saint Lucia,Annual average inflation (consumer prices) rate,1985,0.5,Saint Lucia_1985
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1985,2.1,Saint Vincent and the Grenadines_1985
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1985,,"South Sudan, Republic of_1985"
Syria,Annual average inflation (consumer prices) rate,1985,16.8,Syria_1985
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1985,0.1,São Tomé and Príncipe_1985
Taiwan Province of China,Annual average inflation (consumer prices) rate,1985,-0.2,Taiwan Province of China_1985
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1985,44.5,"Türkiye, Republic of_1985"
Venezuela,Annual average inflation (consumer prices) rate,1985,11.4,Venezuela_1985
Yemen,Annual average inflation (consumer prices) rate,1985,,Yemen_1985
"China, People's Republic of",Annual average inflation (consumer prices) rate,1986,6.5,"China, People's Republic of_1986"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1986,46.7,"Congo, Dem. Rep. of the_1986"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1986,3.5,"Congo, Republic of _1986"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1986,6.8,Côte d'Ivoire_1986
Egypt,Annual average inflation (consumer prices) rate,1986,23.9,Egypt_1986
