Country,Indicator,Year,Inflation_Rate,ID
Syria,Annual average inflation (consumer prices) rate,1993,13.2,Syria_1993
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1993,25.5,São Tomé and Príncipe_1993
Taiwan Province of China,Annual average inflation (consumer prices) rate,1993,2.9,Taiwan Province of China_1993
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1993,66.1,"Türkiye, Republic of_1993"
Venezuela,Annual average inflation (consumer prices) rate,1993,38.1,Venezuela_1993
Yemen,Annual average inflation (consumer prices) rate,1993,61.7,Yemen_1993
"China, People's Republic of",Annual average inflation (consumer prices) rate,1994,24.3,"China, People's Republic of_1994"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1994,23773.1,"Congo, Dem. Rep. of the_1994"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1994,7.5,"Congo, Republic of _1994"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1994,26.0,Côte d'Ivoire_1994
Egypt,Annual average inflation (consumer prices) rate,1994,9.0,Egypt_1994
Hong Kong SAR,Annual average inflation (consumer prices) rate,1994,8.8,Hong Kong SAR_1994
Iran,Annual average inflation (consumer prices) rate,1994,34.9,Iran_1994
"Korea, Republic of",Annual average inflation (consumer prices) rate,1994,6.3,"Korea, Republic of_1994"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1994,7.7,Lao P.D.R._1994
Macao SAR,Annual average inflation (consumer prices) rate,1994,,Macao SAR_1994
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1994,,"Micronesia, Fed. States of_1994"
North Macedonia ,Annual average inflation (consumer prices) rate,1994,126.6,North Macedonia _1994
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1994,1.4,Saint Kitts and Nevis_1994
Saint Lucia,Annual average inflation (consumer prices) rate,1994,2.7,Saint Lucia_1994
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1994,0.4,Saint Vincent and the Grenadines_1994
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1994,,"South Sudan, Republic of_1994"
Syria,Annual average inflation (consumer prices) rate,1994,15.3,Syria_1994
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1994,51.2,São Tomé and Príncipe_1994
Taiwan Province of China,Annual average inflation (consumer prices) rate,1994,4.1,Taiwan Province of China_1994
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1994,104.5,"Türkiye, Republic of_1994"
Venezuela,Annual average inflation (consumer prices) rate,1994,60.8,Venezuela_1994
Yemen,Annual average inflation (consumer prices) rate,1994,71.3,Yemen_1994
"China, People's Republic of",Annual average inflation (consumer prices) rate,1995,16.8,"China, People's Republic of_1995"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1995,541.8,"Congo, Dem. Rep. of the_1995"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1995,6.3,"Congo, Republic of _1995"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1995,14.1,Côte d'Ivoire_1995
Egypt,Annual average inflation (consumer prices) rate,1995,9.4,Egypt_1995
Hong Kong SAR,Annual average inflation (consumer prices) rate,1995,9.0,Hong Kong SAR_1995
Iran,Annual average inflation (consumer prices) rate,1995,49.3,Iran_1995
"Korea, Republic of",Annual average inflation (consumer prices) rate,1995,4.5,"Korea, Republic of_1995"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1995,19.1,Lao P.D.R._1995
Macao SAR,Annual average inflation (consumer prices) rate,1995,,Macao SAR_1995
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1995,,"Micronesia, Fed. States of_1995"
North Macedonia ,Annual average inflation (consumer prices) rate,1995,16.4,North Macedonia _1995
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1995,3.0,Saint Kitts and Nevis_1995
Saint Lucia,Annual average inflation (consumer prices) rate,1995,5.9,Saint Lucia_1995
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1995,2.4,Saint Vincent and the Grenadines_1995
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1995,,"South Sudan, Republic of_1995"
Syria,Annual average inflation (consumer prices) rate,1995,7.7,Syria_1995
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1995,36.8,São Tomé and Príncipe_1995
Taiwan Province of China,Annual average inflation (consumer prices) rate,1995,3.7,Taiwan Province of China_1995
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1995,89.6,"Türkiye, Republic of_1995"
Venezuela,Annual average inflation (consumer prices) rate,1995,59.9,Venezuela_1995
Yemen,Annual average inflation (consumer prices) rate,1995,63.9,Yemen_1995
"China, People's Republic of",Annual average inflation (consumer prices) rate,1996,8.3,"China, People's Republic of_1996"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1996,617.0,"Congo, Dem. Rep. of the_1996"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1996,7.4,"Congo, Republic of _1996"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1996,2.7,Côte d'Ivoire_1996
Egypt,Annual average inflation (consumer prices) rate,1996,7.1,Egypt_1996
Hong Kong SAR,Annual average inflation (consumer prices) rate,1996,6.3,Hong Kong SAR_1996
Iran,Annual average inflation (consumer prices) rate,1996,23.9,Iran_1996
"Korea, Republic of",Annual average inflation (consumer prices) rate,1996,4.9,"Korea, Republic of_1996"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1996,19.1,Lao P.D.R._1996
Macao SAR,Annual average inflation (consumer prices) rate,1996,,Macao SAR_1996
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1996,2.8,"Micronesia, Fed. States of_1996"
North Macedonia ,Annual average inflation (consumer prices) rate,1996,2.5,North Macedonia _1996
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1996,2.0,Saint Kitts and Nevis_1996
Saint Lucia,Annual average inflation (consumer prices) rate,1996,0.9,Saint Lucia_1996
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1996,4.4,Saint Vincent and the Grenadines_1996
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1996,,"South Sudan, Republic of_1996"
Syria,Annual average inflation (consumer prices) rate,1996,8.9,Syria_1996
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1996,42.0,São Tomé and Príncipe_1996
Taiwan Province of China,Annual average inflation (consumer prices) rate,1996,3.1,Taiwan Province of China_1996
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1996,80.2,"Türkiye, Republic of_1996"
Venezuela,Annual average inflation (consumer prices) rate,1996,99.9,Venezuela_1996
Yemen,Annual average inflation (consumer prices) rate,1996,38.8,Yemen_1996
"China, People's Republic of",Annual average inflation (consumer prices) rate,1997,2.8,"China, People's Republic of_1997"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1997,199.0,"Congo, Dem. Rep. of the_1997"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1997,12.7,"Congo, Republic of _1997"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1997,6.3,Côte d'Ivoire_1997
Egypt,Annual average inflation (consumer prices) rate,1997,6.2,Egypt_1997
Hong Kong SAR,Annual average inflation (consumer prices) rate,1997,5.8,Hong Kong SAR_1997
Iran,Annual average inflation (consumer prices) rate,1997,16.5,Iran_1997
"Korea, Republic of",Annual average inflation (consumer prices) rate,1997,4.4,"Korea, Republic of_1997"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1997,19.5,Lao P.D.R._1997
Macao SAR,Annual average inflation (consumer prices) rate,1997,,Macao SAR_1997
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1997,2.7,"Micronesia, Fed. States of_1997"
North Macedonia ,Annual average inflation (consumer prices) rate,1997,1.3,North Macedonia _1997
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1997,8.7,Saint Kitts and Nevis_1997
Saint Lucia,Annual average inflation (consumer prices) rate,1997,0.0,Saint Lucia_1997
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1997,0.5,Saint Vincent and the Grenadines_1997
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1997,,"South Sudan, Republic of_1997"
Syria,Annual average inflation (consumer prices) rate,1997,1.9,Syria_1997
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1997,69.0,São Tomé and Príncipe_1997
Taiwan Province of China,Annual average inflation (consumer prices) rate,1997,0.9,Taiwan Province of China_1997
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1997,85.7,"Türkiye, Republic of_1997"
Venezuela,Annual average inflation (consumer prices) rate,1997,50.0,Venezuela_1997
Yemen,Annual average inflation (consumer prices) rate,1997,4.6,Yemen_1997
"China, People's Republic of",Annual average inflation (consumer prices) rate,1998,-0.8,"China, People's Republic of_1998"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1998,29.1,"Congo, Dem. Rep. of the_1998"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1998,2.2,"Congo, Republic of _1998"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1998,4.5,Côte d'Ivoire_1998
Egypt,Annual average inflation (consumer prices) rate,1998,5.0,Egypt_1998
Hong Kong SAR,Annual average inflation (consumer prices) rate,1998,2.8,Hong Kong SAR_1998
Iran,Annual average inflation (consumer prices) rate,1998,18.5,Iran_1998
"Korea, Republic of",Annual average inflation (consumer prices) rate,1998,7.5,"Korea, Republic of_1998"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1998,90.1,Lao P.D.R._1998
Macao SAR,Annual average inflation (consumer prices) rate,1998,,Macao SAR_1998
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1998,1.6,"Micronesia, Fed. States of_1998"
North Macedonia ,Annual average inflation (consumer prices) rate,1998,0.5,North Macedonia _1998
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1998,3.7,Saint Kitts and Nevis_1998
Saint Lucia,Annual average inflation (consumer prices) rate,1998,3.2,Saint Lucia_1998
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1998,2.1,Saint Vincent and the Grenadines_1998
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1998,,"South Sudan, Republic of_1998"
Syria,Annual average inflation (consumer prices) rate,1998,-1.0,Syria_1998
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1998,42.1,São Tomé and Príncipe_1998
Taiwan Province of China,Annual average inflation (consumer prices) rate,1998,1.7,Taiwan Province of China_1998
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1998,84.7,"Türkiye, Republic of_1998"
Venezuela,Annual average inflation (consumer prices) rate,1998,35.8,Venezuela_1998
Yemen,Annual average inflation (consumer prices) rate,1998,11.5,Yemen_1998
"China, People's Republic of",Annual average inflation (consumer prices) rate,1999,-1.4,"China, People's Republic of_1999"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1999,284.9,"Congo, Dem. Rep. of the_1999"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1999,3.0,"Congo, Republic of _1999"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1999,0.7,Côte d'Ivoire_1999
Egypt,Annual average inflation (consumer prices) rate,1999,3.7,Egypt_1999
Hong Kong SAR,Annual average inflation (consumer prices) rate,1999,-4.0,Hong Kong SAR_1999
Iran,Annual average inflation (consumer prices) rate,1999,20.2,Iran_1999
"Korea, Republic of",Annual average inflation (consumer prices) rate,1999,0.8,"Korea, Republic of_1999"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1999,128.4,Lao P.D.R._1999
Macao SAR,Annual average inflation (consumer prices) rate,1999,,Macao SAR_1999
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1999,1.9,"Micronesia, Fed. States of_1999"
North Macedonia ,Annual average inflation (consumer prices) rate,1999,-1.3,North Macedonia _1999
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1999,3.4,Saint Kitts and Nevis_1999
Saint Lucia,Annual average inflation (consumer prices) rate,1999,2.4,Saint Lucia_1999
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1999,1.0,Saint Vincent and the Grenadines_1999
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1999,,"South Sudan, Republic of_1999"
Syria,Annual average inflation (consumer prices) rate,1999,-3.7,Syria_1999
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1999,11.0,São Tomé and Príncipe_1999
Taiwan Province of China,Annual average inflation (consumer prices) rate,1999,0.2,Taiwan Province of China_1999
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1999,64.9,"Türkiye, Republic of_1999"
Venezuela,Annual average inflation (consumer prices) rate,1999,23.6,Venezuela_1999
Yemen,Annual average inflation (consumer prices) rate,1999,7.9,Yemen_1999
"China, People's Republic of",Annual average inflation (consumer prices) rate,2000,0.4,"China, People's Republic of_2000"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,2000,550.0,"Congo, Dem. Rep. of the_2000"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,2000,0.5,"Congo, Republic of _2000"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,2000,2.5,Côte d'Ivoire_2000
Egypt,Annual average inflation (consumer prices) rate,2000,2.8,Egypt_2000
Hong Kong SAR,Annual average inflation (consumer prices) rate,2000,-3.7,Hong Kong SAR_2000
Iran,Annual average inflation (consumer prices) rate,2000,12.3,Iran_2000
"Korea, Republic of",Annual average inflation (consumer prices) rate,2000,2.3,"Korea, Republic of_2000"
Lao P.D.R.,Annual average inflation (consumer prices) rate,2000,8.4,Lao P.D.R._2000
Macao SAR,Annual average inflation (consumer prices) rate,2000,,Macao SAR_2000
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,2000,1.8,"Micronesia, Fed. States of_2000"
North Macedonia ,Annual average inflation (consumer prices) rate,2000,6.6,North Macedonia _2000
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,2000,2.1,Saint Kitts and Nevis_2000
Saint Lucia,Annual average inflation (consumer prices) rate,2000,4.8,Saint Lucia_2000
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,2000,0.2,Saint Vincent and the Grenadines_2000
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,2000,,"South Sudan, Republic of_2000"
Syria,Annual average inflation (consumer prices) rate,2000,-3.9,Syria_2000
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,2000,11.0,São Tomé and Príncipe_2000
Taiwan Province of China,Annual average inflation (consumer prices) rate,2000,1.2,Taiwan Province of China_2000
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,2000,55.0,"Türkiye, Republic of_2000"
Venezuela,Annual average inflation (consumer prices) rate,2000,16.2,Venezuela_2000
Yemen,Annual average inflation (consumer prices) rate,2000,11.0,Yemen_2000
"China, People's Republic of",Annual average inflation (consumer prices) rate,2001,0.7,"China, People's Republic of_2001"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,2001,357.3,"Congo, Dem. Rep. of the_2001"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,2001,0.8,"Congo, Republic of _2001"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,2001,4.4,Côte d'Ivoire_2001
Egypt,Annual average inflation (consumer prices) rate,2001,2.4,Egypt_2001
Hong Kong SAR,Annual average inflation (consumer prices) rate,2001,-1.6,Hong Kong SAR_2001
Iran,Annual average inflation (consumer prices) rate,2001,11.5,Iran_2001
"Korea, Republic of",Annual average inflation (consumer prices) rate,2001,4.1,"Korea, Republic of_2001"
Lao P.D.R.,Annual average inflation (consumer prices) rate,2001,7.8,Lao P.D.R._2001
Macao SAR,Annual average inflation (consumer prices) rate,2001,,Macao SAR_2001
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,2001,1.3,"Micronesia, Fed. States of_2001"
North Macedonia ,Annual average inflation (consumer prices) rate,2001,5.2,North Macedonia _2001
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,2001,2.1,Saint Kitts and Nevis_2001
Saint Lucia,Annual average inflation (consumer prices) rate,2001,5.3,Saint Lucia_2001
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,2001,1.9,Saint Vincent and the Grenadines_2001
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,2001,,"South Sudan, Republic of_2001"
Syria,Annual average inflation (consumer prices) rate,2001,3.4,Syria_2001
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,2001,9.2,São Tomé and Príncipe_2001
Taiwan Province of China,Annual average inflation (consumer prices) rate,2001,0.0,Taiwan Province of China_2001
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,2001,54.2,"Türkiye, Republic of_2001"
Venezuela,Annual average inflation (consumer prices) rate,2001,12.5,Venezuela_2001
Yemen,Annual average inflation (consumer prices) rate,2001,11.9,Yemen_2001
"China, People's Republic of",Annual average inflation (consumer prices) rate,2002,-0.7,"China, People's Republic of_2002"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,2002,25.3,"Congo, Dem. Rep. of the_2002"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,2002,3.0,"Congo, Republic of _2002"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,2002,3.1,Côte d'Ivoire_2002
Egypt,Annual average inflation (consumer prices) rate,2002,2.3,Egypt_2002
Hong Kong SAR,Annual average inflation (consumer prices) rate,2002,-3.0,Hong Kong SAR_2002
Iran,Annual average inflation (consumer prices) rate,2002,15.8,Iran_2002
"Korea, Republic of",Annual average inflation (consumer prices) rate,2002,2.8,"Korea, Republic of_2002"
Lao P.D.R.,Annual average inflation (consumer prices) rate,2002,10.6,Lao P.D.R._2002
Macao SAR,Annual average inflation (consumer prices) rate,2002,-2.6,Macao SAR_2002
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,2002,-0.2,"Micronesia, Fed. States of_2002"
North Macedonia ,Annual average inflation (consumer prices) rate,2002,1.1,North Macedonia _2002
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,2002,2.1,Saint Kitts and Nevis_2002
Saint Lucia,Annual average inflation (consumer prices) rate,2002,-0.3,Saint Lucia_2002
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,2002,0.7,Saint Vincent and the Grenadines_2002
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,2002,,"South Sudan, Republic of_2002"
Syria,Annual average inflation (consumer prices) rate,2002,-0.5,Syria_2002
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,2002,10.1,São Tomé and Príncipe_2002
Taiwan Province of China,Annual average inflation (consumer prices) rate,2002,-0.2,Taiwan Province of China_2002
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,2002,45.1,"Türkiye, Republic of_2002"
Venezuela,Annual average inflation (consumer prices) rate,2002,22.4,Venezuela_2002
Yemen,Annual average inflation (consumer prices) rate,2002,12.2,Yemen_2002
"China, People's Republic of",Annual average inflation (consumer prices) rate,2003,1.1,"China, People's Republic of_2003"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,2003,12.8,"Congo, Dem. Rep. of the_2003"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,2003,1.7,"Congo, Republic of _2003"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,2003,3.3,Côte d'Ivoire_2003
Egypt,Annual average inflation (consumer prices) rate,2003,3.4,Egypt_2003
Hong Kong SAR,Annual average inflation (consumer prices) rate,2003,-2.6,Hong Kong SAR_2003
Iran,Annual average inflation (consumer prices) rate,2003,15.6,Iran_2003
"Korea, Republic of",Annual average inflation (consumer prices) rate,2003,3.5,"Korea, Republic of_2003"
Lao P.D.R.,Annual average inflation (consumer prices) rate,2003,15.5,Lao P.D.R._2003
Macao SAR,Annual average inflation (consumer prices) rate,2003,-1.6,Macao SAR_2003
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,2003,-0.2,"Micronesia, Fed. States of_2003"
North Macedonia ,Annual average inflation (consumer prices) rate,2003,0.9,North Macedonia _2003
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,2003,2.3,Saint Kitts and Nevis_2003
Saint Lucia,Annual average inflation (consumer prices) rate,2003,1.0,Saint Lucia_2003
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,2003,0.1,Saint Vincent and the Grenadines_2003
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,2003,,"South Sudan, Republic of_2003"
Syria,Annual average inflation (consumer prices) rate,2003,5.8,Syria_2003
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,2003,9.8,São Tomé and Príncipe_2003
Taiwan Province of China,Annual average inflation (consumer prices) rate,2003,-0.3,Taiwan Province of China_2003
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,2003,25.3,"Türkiye, Republic of_2003"
Venezuela,Annual average inflation (consumer prices) rate,2003,31.1,Venezuela_2003
Yemen,Annual average inflation (consumer prices) rate,2003,10.8,Yemen_2003
"China, People's Republic of",Annual average inflation (consumer prices) rate,2004,3.8,"China, People's Republic of_2004"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,2004,4.0,"Congo, Dem. Rep. of the_2004"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,2004,3.7,"Congo, Republic of _2004"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,2004,1.5,Côte d'Ivoire_2004
Egypt,Annual average inflation (consumer prices) rate,2004,8.2,Egypt_2004
Hong Kong SAR,Annual average inflation (consumer prices) rate,2004,-0.4,Hong Kong SAR_2004
Iran,Annual average inflation (consumer prices) rate,2004,15.3,Iran_2004
"Korea, Republic of",Annual average inflation (consumer prices) rate,2004,3.6,"Korea, Republic of_2004"
Lao P.D.R.,Annual average inflation (consumer prices) rate,2004,10.5,Lao P.D.R._2004
Macao SAR,Annual average inflation (consumer prices) rate,2004,1.0,Macao SAR_2004
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,2004,1.7,"Micronesia, Fed. States of_2004"
North Macedonia ,Annual average inflation (consumer prices) rate,2004,-0.4,North Macedonia _2004
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,2004,2.2,Saint Kitts and Nevis_2004
Saint Lucia,Annual average inflation (consumer prices) rate,2004,1.5,Saint Lucia_2004
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,2004,2.9,Saint Vincent and the Grenadines_2004
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,2004,,"South Sudan, Republic of_2004"
Syria,Annual average inflation (consumer prices) rate,2004,4.4,Syria_2004
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,2004,13.3,São Tomé and Príncipe_2004
Taiwan Province of China,Annual average inflation (consumer prices) rate,2004,1.6,Taiwan Province of China_2004
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,2004,8.6,"Türkiye, Republic of_2004"
Venezuela,Annual average inflation (consumer prices) rate,2004,21.7,Venezuela_2004
Yemen,Annual average inflation (consumer prices) rate,2004,12.5,Yemen_2004
"China, People's Republic of",Annual average inflation (consumer prices) rate,2005,1.8,"China, People's Republic of_2005"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,2005,21.5,"Congo, Dem. Rep. of the_2005"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,2005,2.5,"Congo, Republic of _2005"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,2005,3.9,Côte d'Ivoire_2005
Egypt,Annual average inflation (consumer prices) rate,2005,8.7,Egypt_2005
Hong Kong SAR,Annual average inflation (consumer prices) rate,2005,0.9,Hong Kong SAR_2005
Iran,Annual average inflation (consumer prices) rate,2005,10.3,Iran_2005
"Korea, Republic of",Annual average inflation (consumer prices) rate,2005,2.8,"Korea, Republic of_2005"
Lao P.D.R.,Annual average inflation (consumer prices) rate,2005,7.2,Lao P.D.R._2005
Macao SAR,Annual average inflation (consumer prices) rate,2005,4.4,Macao SAR_2005
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,2005,4.1,"Micronesia, Fed. States of_2005"
North Macedonia ,Annual average inflation (consumer prices) rate,2005,0.5,North Macedonia _2005
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,2005,3.4,Saint Kitts and Nevis_2005
Saint Lucia,Annual average inflation (consumer prices) rate,2005,3.9,Saint Lucia_2005
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,2005,3.4,Saint Vincent and the Grenadines_2005
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,2005,,"South Sudan, Republic of_2005"
Syria,Annual average inflation (consumer prices) rate,2005,7.2,Syria_2005
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,2005,17.2,São Tomé and Príncipe_2005
Taiwan Province of China,Annual average inflation (consumer prices) rate,2005,2.3,Taiwan Province of China_2005
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,2005,8.2,"Türkiye, Republic of_2005"
Venezuela,Annual average inflation (consumer prices) rate,2005,16.0,Venezuela_2005
Yemen,Annual average inflation (consumer prices) rate,2005,9.9,Yemen_2005
"China, People's Republic of",Annual average inflation (consumer prices) rate,2006,1.6,"China, People's Republic of_2006"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,2006,12.8,"Congo, Dem. Rep. of the_2006"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,2006,4.7,"Congo, Republic of _2006"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,2006,2.5,Côte d'Ivoire_2006
Egypt,Annual average inflation (consumer prices) rate,2006,4.3,Egypt_2006
Hong Kong SAR,Annual average inflation (consumer prices) rate,2006,2.0,Hong Kong SAR_2006
Iran,Annual average inflation (consumer prices) rate,2006,12.0,Iran_2006
"Korea, Republic of",Annual average inflation (consumer prices) rate,2006,2.2,"Korea, Republic of_2006"
Lao P.D.R.,Annual average inflation (consumer prices) rate,2006,6.5,Lao P.D.R._2006
Macao SAR,Annual average inflation (consumer prices) rate,2006,5.1,Macao SAR_2006
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,2006,4.4,"Micronesia, Fed. States of_2006"
North Macedonia ,Annual average inflation (consumer prices) rate,2006,3.2,North Macedonia _2006
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,2006,8.5,Saint Kitts and Nevis_2006
Saint Lucia,Annual average inflation (consumer prices) rate,2006,3.6,Saint Lucia_2006
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,2006,3.0,Saint Vincent and the Grenadines_2006
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,2006,,"South Sudan, Republic of_2006"
Syria,Annual average inflation (consumer prices) rate,2006,10.4,Syria_2006
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,2006,23.1,São Tomé and Príncipe_2006
Taiwan Province of China,Annual average inflation (consumer prices) rate,2006,0.6,Taiwan Province of China_2006
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,2006,9.6,"Türkiye, Republic of_2006"
Venezuela,Annual average inflation (consumer prices) rate,2006,13.7,Venezuela_2006
Yemen,Annual average inflation (consumer prices) rate,2006,10.8,Yemen_2006
"China, People's Republic of",Annual average inflation (consumer prices) rate,2007,4.8,"China, People's Republic of_2007"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,2007,16.7,"Congo, Dem. Rep. of the_2007"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,2007,2.6,"Congo, Republic of _2007"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,2007,1.9,Côte d'Ivoire_2007
Egypt,Annual average inflation (consumer prices) rate,2007,10.9,Egypt_2007
Hong Kong SAR,Annual average inflation (consumer prices) rate,2007,2.0,Hong Kong SAR_2007
Iran,Annual average inflation (consumer prices) rate,2007,18.4,Iran_2007
"Korea, Republic of",Annual average inflation (consumer prices) rate,2007,2.5,"Korea, Republic of_2007"
Lao P.D.R.,Annual average inflation (consumer prices) rate,2007,4.7,Lao P.D.R._2007
